Category,Segment
Food - Snacks,Snacks
Food - Condiments,Condiments
Accessories,Accessories
Food - Produce,Produce
Food - Sauces,Sauces
Food - Meat,Meat
Home,Home
Food - Baking,Baking
Food - Sides,Sides
Food - Grains,Grains
Food - Frozen Foods,Frozen Foods
Health,Health
Home Appliances,Home Appliances
Food - Frozen Meals,Frozen Meals
Food - Prepared Foods,Prepared Foods
Food - Bakery,Bakery
Outdoor,Outdoor
Grooming,Grooming
Clothing - Footwear,Footwear
Travel,Travel
Toys,Toys
Food - Canned Goods,Canned Goods
,Unknown
Food - Dairy,Dairy
Clothing - Jumpsuits,Jumpsuits
Automotive,Automotive
Kitchen,Kitchen
Food - Spices,Spices
Food - Supplements,Supplements
Food - Cereals,Cereals
Beauty,Beauty
Food - Frozen,Frozen
Clothing - Dresses,Dresses
Food - Dips,Dips
Food - Beverages,Beverages
Office,Office
Fitness,Fitness
Food - Breakfast,Breakfast
Safety,Safety
Food - Cereal,Cereal
Food - Confectionery,Confectionery
Food - Soups,Soups
Food - Baking & Cooking,Baking & Cooking
Books,Books
Food - Breakfast Foods,Breakfast Foods
Clothing - Outerwear,Outerwear
Food - Oils,Oils
Audio,Audio
Garden,Garden
Food - Marinades,Marinades
Clothing - Tops,Tops
Pets,Pets
Gaming,Gaming
Food,Food
Food - Nuts,Nuts
Food - Pasta,Pasta
Food - Prepared Meals,Prepared Meals
Clothing - Accessories,Accessories
Food - Freezer,Freezer
Electronics,Electronics
Food - Salads,Salads
Crafts,Crafts
Clothing - Shirts,Shirts
Food - Frozen Food,Frozen Food
Clothing - Sweaters,Sweaters
Food - Meal Kits,Meal Kits
Clothing - Shoes,Shoes
Food - Baking Goods,Baking Goods
Food - Deli,Deli
Food - Cooking Oils,Cooking Oils
Food - Frozen Desserts,Frozen Desserts
Clothing - Activewear,Activewear
Food - Vegetables,Vegetables
Clothing - Skirts,Skirts
Food - Fruits,Fruits
Food - Seafood,Seafood
Food - Salad Toppings,Salad Toppings
Food - Meat Substitutes,Meat Substitutes
Storage,Storage
Food - Dairy Alternatives,Dairy Alternatives
Music,Music
Tools,Tools
Sports,Sports
Food - Canned Soups,Canned Soups
Clothing - Pants,Pants
Food - Meats,Meats
Art Supplies,Art Supplies
Food - Desserts,Desserts
Clothing,Clothing
Food - Spreads,Spreads
Smart Home,Smart Home
Food - Dressings,Dressings
Bicycles,Bicycles
Home Improvement,Home Improvement
Food - Cheese,Cheese
Computers,Computers
Food - Vegetarian,Vegetarian
Food - Health Foods,Health Foods
Food - Dried Fruits,Dried Fruits
Furniture,Furniture
Clothing - Bottoms,Bottoms
Food - Grocery,Grocery
Food - Baked Goods,Baked Goods
Photography,Photography
Food - Meat Alternatives,Meat Alternatives
Bathroom,Bathroom
Food - Deli Meats,Deli Meats
Food - Gourmet Rice,Gourmet Rice
Clothing - Bags,Bags
Food - Cooking Oil,Cooking Oil
Food - Meat & Poultry,Meat & Poultry
Food - Oils & Vinegars,Oils & Vinegars
Footwear,Footwear
Food - Household,Household
Baby,Baby
Food - Fresh Produce,Fresh Produce
Clothing - Loungewear,Loungewear
Food - Health/Protein,Health/Protein
Food - Protein,Protein
Clothing - Coats,Coats
Food - Frozen Vegetables,Frozen Vegetables
Apps,Apps
Food - Frozen Fruits,Frozen Fruits
Home Security,Home Security
Food - Jams & Jellies,Jams & Jellies
Food - Cooking Kits,Cooking Kits
Wearable Tech,Wearable Tech
Food - Seasonings,Seasonings
Food - Pantry,Pantry
Food - Meat & Seafood,Meat & Seafood
Clothing - Swimwear,Swimwear
Food - Dressing,Dressing
Food - Grab-and-Go,Grab
Food - Bread,Bread
